STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/1/2010,8.5,0,0,,44,29,,,,,,,,,,,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/2/2010,20.36,0,0,,30,20,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/3/2010,19.01,0,0,,28,16,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/4/2010,12.3,0,0,,34,23,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/5/2010,12.75,0,0,,37,27,,,,,,,,,,,,,,1,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/6/2010,13.87,0,0,,39,29,,,,,,,,,,,,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/7/2010,8.72,0,0,,39,29,,,,,,,,,,,,,,1,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/8/2010,10.51,0.03,1,,32,23,1,,,,,,,,,,1,,,1,,1,,1
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/9/2010,12.75,0,0,,36,23,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/10/2010,11.63,0,0,,32,19,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/11/2010,6.26,0,0,,36,20,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/12/2010,12.75,0,0,,35,29,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/13/2010,6.49,0,0,,44,27,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/14/2010,2.91,0,0,,50,26,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/15/2010,5.82,0,0,,57,28,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/16/2010,3.8,0,0,,52,31,1,,,,,,,1,,,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/17/2010,8.5,0.68,0,,45,37,1,,,,1,,,,,,1,1,,1,,,,
