,date,cny,eur,gbp,jpy,snp_index,snp_daily_return,vix,vxo
1,20100104,0.0108284,1.61195,1.44385,0.146471,1132.99,0.016043,20.04,17.78
2,20100105,0.0109242,1.6032,1.44165,0.146473,1136.52,0.003116,19.35,17.18
3,20100106,0.0107927,1.5998,1.43875,0.146469,1137.14,0.000546,19.16,17.64
4,20100107,0.0107302,1.59365,1.43265,0.146462,1141.69,0.004001,19.06,17.89
5,20100108,0.0107585,1.59615,1.43255,0.146466,1144.98,0.002882,18.13,17.01
6,20100111,0.0108778,1.61715,1.45465,0.14649,1146.98,0.001747,17.55,17.34
7,20100112,0.0109975,1.6191,1.454,0.146475,1136.22,-0.009381,18.25,18.23
8,20100113,0.0109589,1.6264,1.4508,0.146482,1145.68,0.008326,17.85,17
9,20100114,0.0109757,1.63155,1.4474,0.146471,1148.46,0.002427,17.63,16.58
10,20100115,0.0110059,1.62535,1.43685,0.146479,1136.03,-0.010823,17.91,17.11
11,20100119,0.0109661,1.6372,1.42815,0.146469,1150.23,0.0125,17.58,16.5
12,20100120,0.0109637,1.6277,1.41155,0.146475,1138.04,-0.010598,18.68,17.12
13,20100121,0.0109649,1.6175,1.4055,0.146482,1116.48,-0.018945,22.27,21.19
14,20100122,0.0111006,1.61245,1.4129,0.146479,1091.76,-0.022141,27.31,26.05
15,20100125,0.0110957,1.62075,1.4156,0.146479,1096.78,0.004598,25.41,23.38
16,20100126,0.0111726,1.6148,1.40575,0.146479,1092.17,-0.004203,24.55,23.24
17,20100127,0.0111819,1.61905,1.4041,0.146482,1097.5,0.00488,23.14,22.32
18,20100128,0.0111198,1.6137,1.396,0.146479,1084.53,-0.011818,23.73,23
19,20100129,0.0110308,1.6024,1.38995,0.146482,1073.87,-0.009829,24.62,24.46
20,20100201,0.0110162,1.5903,1.38955,0.146469,1089.19,0.014266,22.59,21.31
21,20100202,0.0110681,1.5969,1.39515,0.146479,1103.32,0.012973,21.48,20.18
22,20100203,0.0109926,1.59325,1.39135,0.146486,1097.28,-0.005474,21.6,20.63
23,20100204,0.0110711,1.5783,1.378,0.146479,1063.11,-0.031141,26.08,26.53
24,20100205,0.0111907,1.56445,1.36705,0.146475,1066.19,0.002897,26.11,25.28
25,20100208,0.0112051,1.56415,1.3701,0.146484,1056.74,-0.008863,26.51,25.43
26,20100209,0.0111869,1.5606,1.37355,0.146484,1070.52,0.01304,26,24.49
27,20100210,0.0111309,1.5589,1.36985,0.146409,1068.13,-0.002233,25.4,24.27
28,20100211,0.0111383,1.5609,1.3606,0.146314,1078.47,0.00968,23.96,23.09
29,20100212,0.0111111,1.5642,1.361,0.146349,1075.51,-0.002745,22.73,23.24
30,20100216,0.0110797,1.5677,1.3702,0.146349,1094.87,0.018001,22.25,21.57
31,20100217,0.0110059,1.5723,1.36545,0.146349,1099.51,0.004238,21.72,21.19
32,20100218,0.0109938,1.5641,1.36255,0.146349,1106.75,0.006585,20.63,19.63
33,20100219,0.0108713,1.54165,1.35125,0.146349,1109.17,0.002187,20.02,19.19
34,20100222,0.0109691,1.54935,1.3591,0.14649,1108.01,-0.001046,19.94,18.73
35,20100223,0.0110865,1.5449,1.35705,0.146484,1094.6,-0.012103,21.37,20.73
36,20100224,0.0111185,1.5449,1.3607,0.146477,1105.24,0.00972,20.27,19.49
37,20100225,0.0112461,1.5253,1.3523,0.146482,1102.94,-0.002081,20.1,19.51
38,20100226,0.011253,1.5224,1.3647,0.146499,1104.49,0.001405,19.5,19.16
39,20100301,0.0111869,1.49405,1.34785,0.146492,1115.71,0.010159,19.26,17.82
40,20100302,0.0112322,1.49265,1.356,0.146488,1118.31,0.00233,19.06,18.03
41,20100303,0.0112956,1.50655,1.369,0.146503,1118.79,0.000429,18.83,18.11
42,20100304,0.011241,1.50535,1.3607,0.14649,1122.97,0.003736,18.72,17.93
43,20100305,0.0110424,1.51,1.3608,0.146488,1138.7,0.014008,17.42,16.81
44,20100308,0.0110632,1.5069,1.36525,0.14649,1138.5,-0.000176,17.79,16.85
45,20100309,0.0111396,1.4985,1.3582,0.146492,1140.45,0.001713,17.92,16.91
46,20100310,0.0110333,1.4971,1.36645,0.146501,1145.61,0.004525,18.57,17.85
47,20100311,0.0110473,1.5043,1.3674,0.146486,1150.24,0.004042,18.06,17.51
48,20100312,0.0110217,1.5177,1.37565,0.146509,1149.99,-0.000217,17.58,17.7
49,20100315,0.011054,1.5042,1.36515,0.146499,1150.51,0.000452,18,17.48
50,20100316,0.0110583,1.5193,1.3758,0.146501,1159.46,0.007779,17.69,17.17
51,20100317,0.0110577,1.52955,1.3739,0.146499,1166.21,0.005822,16.91,16.61
52,20100318,0.0110534,1.5246,1.3602,0.146497,1165.83,-0.000326,16.62,16.18
53,20100319,0.0110485,1.50155,1.3528,0.146488,1159.9,-0.005087,16.97,16.51
54,20100322,0.0111068,1.50695,1.35305,0.146486,1165.81,0.005095,16.87,15.54
55,20100323,0.0110803,1.50675,1.35325,0.146492,1174.17,0.007171,16.35,15.25
56,20100324,0.0108826,1.4913,1.3348,0.146484,1167.72,-0.005493,17.55,16.59
57,20100325,0.0107886,1.48835,1.3343,0.146475,1165.73,-0.001704,18.4,17.64
58,20100326,0.0108032,1.49045,1.33985,0.146477,1166.59,0.000738,17.77,16.91
59,20100329,0.0107904,1.4982,1.3471,0.14649,1173.22,0.005683,17.59,15.98
60,20100330,0.0107527,1.51065,1.3422,0.146503,1173.27,4.30E-05,17.13,15.86
61,20100331,0.0107021,1.5169,1.3531,0.146501,1169.43,-0.003273,17.59,16.04
62,20100401,0.0106417,1.52825,1.35375,0.146492,1178.1,0.007414,17.47,16.16
63,20100405,0.0105837,1.52935,1.35065,0.146492,1187.44,0.007928,17.02,15.24
64,20100406,0.0106411,1.52005,1.33835,0.146503,1189.44,0.001684,16.23,14.91
65,20100407,0.0106775,1.5204,1.33445,0.146507,1182.45,-0.005877,16.62,15.45
66,20100408,0.0107359,1.52465,1.33565,0.146531,1186.44,0.003374,16.48,15.19
67,20100409,0.0107032,1.53535,1.34455,0.146544,1194.37,0.006684,16.14,15.14
68,20100412,0.0107175,1.5391,1.3608,0.146505,1196.48,0.001767,15.58,15.25
69,20100413,0.0107371,1.5366,1.35625,0.146507,1197.3,0.000685,16.2,15.25
70,20100414,0.0107049,1.546,1.36265,0.146505,1210.65,0.01115,15.59,14.7
71,20100415,0.0107388,1.54985,1.3566,0.146499,1211.67,0.000843,15.89,15.11
72,20100416,0.0108407,1.54055,1.35075,0.146509,1192.13,-0.016127,18.36,17.03
73,20100419,0.0108413,1.53015,1.3466,0.146482,1197.52,0.004521,17.34,15.21
74,20100420,0.0107342,1.5353,1.34615,0.146512,1207.17,0.008058,15.73,14.26
75,20100421,0.0107262,1.5402,1.3393,0.146466,1205.94,-0.001019,16.32,14.68
76,20100422,0.0107434,1.5386,1.33015,0.146492,1208.67,0.002264,16.47,15.45
77,20100423,0.010609,1.5353,1.33605,0.146466,1217.28,0.007124,16.62,15.54
78,20100426,0.0106253,1.5465,1.3324,0.146486,1212.05,-0.004296,17.47,16.08
79,20100427,0.0106952,1.53425,1.33155,0.146503,1183.71,-0.023382,22.81,21.08
80,20100428,0.0106315,1.52045,1.3204,0.146514,1191.36,0.006463,21.08,19.22
81,20100429,0.010614,1.52755,1.3244,0.146501,1206.78,0.012943,18.44,16.94
82,20100430,0.0106372,1.53065,1.32965,0.146516,1186.69,-0.016648,22.05,20.98
83,20100503,0.0105809,1.5227,1.3175,0.146516,1202.26,0.013121,20.19,18.09
84,20100504,0.0105803,1.5112,1.3033,0.146488,1173.6,-0.023838,23.84,22.29
85,20100505,0.010596,1.51155,1.2865,0.146492,1165.9,-0.006561,24.91,23.71
86,20100506,0.0107124,1.49715,1.27095,0.146486,1128.15,-0.032378,32.8,31.12
87,20100507,0.010986,1.4684,1.26505,0.146505,1110.88,-0.015308,40.95,38.94
