"","tract","name","number","start.freq","end.freq","lat","lng","state","number.of.households","avg.household.size","percent.disability","percent.veterans","number.of.children","percent.children","number.enrolled.in.school","percent.schooling.no.diploma","percent.schooling.hs.graduate","percent.schooling.some.college","percent.schooling.associates","percent.schooling.bachelors","percent.schooling.graduate.or.professional","percent.hs.or.higher","percent.bachelor.or.higher","percent.in.labor.force","number.commuting.to.work","percent.commute.car.alone","percent.commute.car.carpool","percent.commute.public.transit","percent.commute.walking","percent.commute.other.means","mean.travel.time.work","percent.income.less10k","percent.income.10k.15k","percent.income.15k.25k","percent.income.25k.35k","percent.income.35k.50k","percent.income.50k.75k","percent.income.75k.100k","percent.income.100k.150k","percent.income.150k.200k","percent.income.greater200k","median.income","mean.income","percent.families.below.poverty.line","percent.moved.2015.later","percent.moved.2010.2014","percent.moved.2000.2009","percent.moved.1990.1999","percent.moved.1980.1989","percent.moved.1979.earlier","percent.female","percent.race.black","percent.race.american.indian","percent.race.asian","percent.race.pacific.islander","percent.race.other","percent.race.two","percent.race.white"
"1","1400000US11001000100","34th St & Wisconsin Ave NW",31226,48695,38315,38.915761,-77.067795,"DC","2454","2.03","3.5","7.5","865","17.4","886","0.0","2.7","6.2","0.9","20.6","69.3","99.7","89.9","76.4","3067","27.5","3.3","20.6","21.1","14.1","26.4","2.4","0.6","5.6","1.0","1.8","7.2","6.9","18.9","12.1","43.5","167188","252856","0.0","8.0","43.3","29.7","9.5","6.7","2.8","53.3","1.1","0.0","4.0","0.0","0.5","1.7","92.8"
"2","1400000US11001000100","31st & Water St NW",31293,7363,11353,38.902612,-77.06112,"DC","2454","2.03","3.5","7.5","865","17.4","886","0.0","2.7","6.2","0.9","20.6","69.3","99.7","89.9","76.4","3067","27.5","3.3","20.6","21.1","14.1","26.4","2.4","0.6","5.6","1.0","1.8","7.2","6.9","18.9","12.1","43.5","167188","252856","0.0","8.0","43.3","29.7","9.5","6.7","2.8","53.3","1.1","0.0","4.0","0.0","0.5","1.7","92.8"
"3","1400000US11001000100","M St & Pennsylvania Ave NW",31246,130489,159754,38.9052288,-77.05796,"DC","2454","2.03","3.5","7.5","865","17.4","886","0.0","2.7","6.2","0.9","20.6","69.3","99.7","89.9","76.4","3067","27.5","3.3","20.6","21.1","14.1","26.4","2.4","0.6","5.6","1.0","1.8","7.2","6.9","18.9","12.1","43.5","167188","252856","0.0","8.0","43.3","29.7","9.5","6.7","2.8","53.3","1.1","0.0","4.0","0.0","0.5","1.7","92.8"
"4","1400000US11001000100","C & O Canal & Wisconsin Ave NW",31225,116338,153274,38.9036914,-77.0627162,"DC","2454","2.03","3.5","7.5","865","17.4","886","0.0","2.7","6.2","0.9","20.6","69.3","99.7","89.9","76.4","3067","27.5","3.3","20.6","21.1","14.1","26.4","2.4","0.6","5.6","1.0","1.8","7.2","6.9","18.9","12.1","43.5","167188","252856","0.0","8.0","43.3","29.7","9.5","6.7","2.8","53.3","1.1","0.0","4.0","0.0","0.5","1.7","92.8"
"5","1400000US11001000100","Georgetown Harbor / 30th St NW",31215,104608,148395,38.9029371,-77.0585492,"DC","2454","2.03","3.5","7.5","865","17.4","886","0.0","2.7","6.2","0.9","20.6","69.3","99.7","89.9","76.4","3067","27.5","3.3","20.6","21.1","14.1","26.4","2.4","0.6","5.6","1.0","1.8","7.2","6.9","18.9","12.1","43.5","167188","252856","0.0","8.0","43.3","29.7","9.5","6.7","2.8","53.3","1.1","0.0","4.0","0.0","0.5","1.7","92.8"
"6","1400000US11001000201","37th & O St NW / Georgetown University",31236,91460,88912,38.9087261,-77.0736296,"DC","3","3.33","3.4","0.0","3","30.0","3641","0.0","15.9","30.2","0.0","0.0","54.0","100.0","54.0","44.3","1529","2.8","3.4","5.2","73.7","6.6","12.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","-","N","0.0","0.0","0.0","0.0","100.0","0.0","0.0","55.3","8.3","0.0","15.4","0.0","0.6","5.9","69.8"
"7","1400000US11001000202","34th & Water St NW",31314,38089,54110,38.9038723,-77.0677325,"DC","1585","2.25","7.3","2.8","482","13.5","2019","0.4","0.8","2.0","1.6","35.1","59.4","99.0","94.6","59.7","2203","27.3","1.9","31.1","29.2","2.2","22.0","11.0","0.6","3.0","3.2","6.1","7.8","1.8","12.4","15.3","38.8","161378","192866","1.5","3.7","42.4","30.8","8.5","8.1","6.6","51.1","7.7","0.2","6.0","0.0","0.5","2.7","82.8"
"8","1400000US11001000202","Potomac & M St NW",31295,9715,12217,38.9051294,-77.0651744,"DC","1585","2.25","7.3","2.8","482","13.5","2019","0.4","0.8","2.0","1.6","35.1","59.4","99.0","94.6","59.7","2203","27.3","1.9","31.1","29.2","2.2","22.0","11.0","0.6","3.0","3.2","6.1","7.8","1.8","12.4","15.3","38.8","161378","192866","1.5","3.7","42.4","30.8","8.5","8.1","6.6","51.1","7.7","0.2","6.0","0.0","0.5","2.7","82.8"
"9","1400000US11001000202","Wisconsin Ave & O St NW",31312,56126,62785,38.9078565,-77.0635823,"DC","1585","2.25","7.3","2.8","482","13.5","2019","0.4","0.8","2.0","1.6","35.1","59.4","99.0","94.6","59.7","2203","27.3","1.9","31.1","29.2","2.2","22.0","11.0","0.6","3.0","3.2","6.1","7.8","1.8","12.4","15.3","38.8","161378","192866","1.5","3.7","42.4","30.8","8.5","8.1","6.6","51.1","7.7","0.2","6.0","0.0","0.5","2.7","82.8"
"10","1400000US11001000400","36th & Calvert St NW / Glover Park",31304,37873,21862,38.922542,-77.0708934,"DC","645","2.45","5.6","5.1","350","22.1","345","0.7","8.1","5.7","1.0","21.6","57.6","94.1","79.3","64.6","813","43.4","12.4","11.6","10.3","5.0","27.2","4.3","0.9","5.6","0.8","6.7","5.0","10.7","12.6","7.4","46.0","181406","353196","4.2","3.4","38.8","33.8","10.2","9.6","4.2","50.0","4.9","0.0","9.3","0.0","1.7","5.1","79.0"
